distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
51.3,F,Elite,10.887848484848485,33
51.3,M,Average,7.486408626560726,881
51.3,M,Elite,11.52519387755102,98
51.32,F,Average,6.7578000000000005,5
51.32,F,Elite,8.483,1
51.32,M,Average,6.669388888888889,18
51.32,M,Elite,8.67725,4
51.4,F,Average,5.927462059620596,738
51.4,F,Elite,9.928783132530121,83
51.4,M,Average,6.447374944665782,2259
51.4,M,Elite,10.768166666666666,252
51.49888,F,Average,6.639456273764259,2367
51.49888,F,Elite,9.82590494296578,263
51.49888,M,Average,7.542673837739288,5485
51.49888,M,Elite,11.172190163934426,610
51.5,F,Average,5.490715625,320
51.5,F,Elite,8.732833333333334,36
51.5,M,Average,5.903039441248973,1217
51.5,M,Elite,9.694249999999998,136
51.6,F,Average,5.825349090909091,275
51.6,F,Elite,8.8591875,32
51.6,M,Average,6.236446308724832,596
51.6,M,Elite,9.937238805970148,67
51.61,F,Average,7.43025,4
51.61,F,Elite,8.25,1
51.61,M,Average,8.777000000000001,17
51.61,M,Elite,12.3975,2
51.659814000000004,F,Elite,6.863,1
51.659814000000004,M,Average,6.30275,8
51.659814000000004,M,Elite,8.464,4
51.7,F,Average,3.946915032679738,765
51.7,F,Elite,9.689793103448277,87
51.7,M,Average,4.890613677264548,1667
51.7,M,Elite,10.874871657754012,187
51.8,F,Average,6.597436363636363,440
51.8,F,Elite,9.839734693877551,49
51.8,M,Average,7.176954091816367,1503
51.8,M,Elite,11.038425149700599,167
51.9,F,Average,5.658744047619048,168
51.9,F,Elite,8.792052631578947,19
51.9,M,Average,5.628402154398564,557
51.9,M,Elite,9.66758064516129,62
52.0,F,Average,6.402670143099684,12369
52.0,F,Elite,10.066355636363635,1375
52.0,M,Average,7.001131365809332,50622
52.0,M,Elite,11.507910222222222,5625
52.1,F,Average,5.137626168224299,107
52.1,F,Elite,8.6555,12
52.1,M,Average,5.626368932038835,309
52.1,M,Elite,9.723342857142857,35
52.142616,F,Average,7.334688888888889,90
52.142616,F,Elite,9.497499999999999,10
52.142616,M,Average,7.684139053254438,338
52.142616,M,Elite,10.00328947368421,38
52.2,F,Average,3.790546346782988,917
52.2,F,Elite,9.165166666666666,102
52.2,M,Average,4.571072289156627,2573
52.2,M,Elite,10.909090909090908,286
52.3,F,Average,5.64171686746988,166
52.3,F,Elite,8.343315789473683,19
52.3,M,Average,6.504806236080178,898
52.3,M,Elite,9.73883,100
52.30355,F,Average,6.764048780487806,82
52.30355,F,Elite,10.2459,10
52.30355,M,Average,7.232234375,192
52.30355,M,Elite,10.670272727272728,22
52.4,F,Average,6.783571428571429,203
52.4,F,Elite,9.38391304347826,23
52.4,M,Average,7.234200503355704,1192
52.4,M,Elite,10.138544776119403,134
